time U B V R I J H K
4.140000e+00 -16.704740 -16.585697 -16.660632 -17.040098 -17.125083 -17.082176 -17.050046 -16.986274
4.220000e+00 -16.673056 -16.622762 -16.709359 -17.068538 -17.188121 -17.165376 -16.970444 -16.929715
4.310000e+00 -16.766686 -16.683077 -16.705142 -17.090821 -17.206663 -17.160072 -17.032895 -16.922173
4.400000e+00 -16.750587 -16.688154 -16.773409 -17.139627 -17.196286 -17.185363 -17.127471 -16.956700
4.490000e+00 -16.805187 -16.705782 -16.801203 -17.133271 -17.218062 -17.169541 -17.033238 -16.775963
4.580000e+00 -16.801549 -16.747039 -16.821631 -17.158908 -17.270186 -17.211357 -17.105820 -16.952458
4.680000e+00 -16.822030 -16.774328 -16.882701 -17.222040 -17.285189 -17.220604 -17.131028 -17.090067
4.770000e+00 -16.833648 -16.794062 -16.873377 -17.234685 -17.324455 -17.236066 -17.169054 -16.979696
4.870000e+00 -16.850011 -16.804979 -16.913840 -17.283935 -17.335404 -17.330211 -17.201539 -17.059700
4.970000e+00 -16.883197 -16.865053 -16.949888 -17.314076 -17.419191 -17.343271 -17.161991 -17.034919
5.080000e+00 -16.926474 -16.902088 -16.977876 -17.344501 -17.416336 -17.405730 -17.206166 -17.237310
5.180000e+00 -16.941195 -16.919182 -17.029783 -17.373047 -17.387663 -17.411236 -17.284693 -17.149337
5.290000e+00 -17.041025 -16.969467 -17.037177 -17.390848 -17.520151 -17.389756 -17.260907 -17.166084
5.400000e+00 -17.064784 -16.990877 -17.056172 -17.465618 -17.553961 -17.452358 -17.457321 -17.340132
5.510000e+00 -17.123600 -17.031538 -17.124302 -17.500974 -17.598442 -17.477544 -17.359480 -17.229128
5.620000e+00 -17.210045 -17.066704 -17.138657 -17.533368 -17.623591 -17.501246 -17.480259 -17.515395
5.740000e+00 -17.288494 -17.105862 -17.209718 -17.599769 -17.733769 -17.617395 -17.464656 -17.442632
5.860000e+00 -17.322416 -17.170006 -17.227569 -17.605977 -17.760092 -17.672604 -17.547827 -17.560107
5.980000e+00 -17.365575 -17.175173 -17.261726 -17.640850 -17.793284 -17.654706 -17.590670 -17.560044
6.100000e+00 -17.395826 -17.245949 -17.312243 -17.702299 -17.800194 -17.657057 -17.599791 -17.401583
6.230000e+00 -17.478415 -17.293153 -17.368916 -17.732859 -17.802518 -17.717190 -17.586121 -17.426153
6.360000e+00 -17.506486 -17.307229 -17.376719 -17.784253 -17.887526 -17.798642 -17.621857 -17.512145
6.490000e+00 -17.573837 -17.346598 -17.410240 -17.809674 -17.915232 -17.823143 -17.747648 -17.535366
6.620000e+00 -17.571195 -17.413128 -17.469501 -17.863347 -17.946130 -17.880821 -17.753973 -17.481107
6.760000e+00 -17.652371 -17.438392 -17.520803 -17.903134 -17.997470 -17.829107 -17.776027 -17.618032
6.900000e+00 -17.666136 -17.488722 -17.556530 -17.948014 -18.065034 -17.915896 -17.811065 -17.718008
7.040000e+00 -17.706035 -17.522911 -17.586421 -17.991410 -18.138518 -17.920761 -17.824487 -17.860574
7.190000e+00 -17.759159 -17.563745 -17.658004 -18.026965 -18.133305 -17.950480 -17.827225 -17.765647
7.340000e+00 -17.824221 -17.604733 -17.677430 -18.070569 -18.211174 -18.006714 -17.904631 -17.810091
7.490000e+00 -17.840883 -17.659153 -17.723226 -18.128863 -18.239829 -18.059827 -17.908270 -17.838712
7.650000e+00 -17.908477 -17.695474 -17.748246 -18.159162 -18.258830 -18.044584 -17.978676 -17.914855
