time U B V R I J H K
1.991700e+02 -13.446197 -14.111510 -14.097592 -13.192936 -12.306941 -11.216826 -12.306874 -14.129859
2.020300e+02 -13.377072 -14.072461 -14.054793 -13.143854 -12.257569 -11.177674 -12.314768 -14.069989
2.049300e+02 -13.320739 -14.030622 -14.003908 -13.077397 -12.217690 -11.195572 -12.265316 -14.063773
2.078800e+02 -13.258094 -13.989535 -13.966106 -13.013225 -12.199850 -11.172024 -12.224079 -14.057530
2.108700e+02 -13.200288 -13.949651 -13.919324 -12.955553 -12.149166 -11.153647 -12.233302 -13.994012
2.139000e+02 -13.137437 -13.909933 -13.878297 -12.894353 -12.100249 -11.155925 -12.219609 -13.991690
2.169700e+02 -13.081170 -13.863358 -13.831656 -12.826908 -12.090156 -11.164249 -12.161802 -13.950297
2.200900e+02 -13.001720 -13.817305 -13.782465 -12.764551 -12.048264 -11.156395 -12.175705 -13.933510
2.232500e+02 -12.949153 -13.775557 -13.740164 -12.703675 -12.002240 -11.164656 -12.135607 -13.885404
2.264600e+02 -12.883177 -13.735397 -13.699464 -12.641641 -11.957735 -11.151367 -12.116031 -13.845058
2.297200e+02 -12.809339 -13.689562 -13.652787 -12.580586 -11.933901 -11.154873 -12.093080 -13.849070
2.330200e+02 -12.745078 -13.645093 -13.608219 -12.509766 -11.886268 -11.151176 -12.127829 -13.828351
2.363700e+02 -12.673648 -13.602954 -13.560450 -12.460118 -11.867834 -11.141446 -12.093127 -13.799869
2.397700e+02 -12.607717 -13.557194 -13.516998 -12.382723 -11.836555 -11.174144 -12.057052 -13.777652
2.432100e+02 -12.540778 -13.511015 -13.466119 -12.324507 -11.801013 -11.125580 -12.058985 -13.732971
2.467100e+02 -12.473176 -13.466769 -13.423579 -12.265558 -11.755720 -11.120787 -12.061817 -13.715570
2.502500e+02 -12.399155 -13.415321 -13.371739 -12.206402 -11.743513 -11.179766 -12.069367 -13.667297
2.538500e+02 -12.337296 -13.366418 -13.319318 -12.144918 -11.710987 -11.144666 -12.068118 -13.631790
2.575000e+02 -12.267142 -13.316110 -13.267491 -12.071518 -11.676238 -11.151120 -12.049977 -13.627845
2.612000e+02 -12.191212 -13.261737 -13.215099 -12.006820 -11.652583 -11.176179 -12.032459 -13.557384
2.649600e+02 -12.124573 -13.214032 -13.162498 -11.936072 -11.614556 -11.162375 -12.030110 -13.545117
2.687600e+02 -12.056873 -13.163480 -13.113166 -11.874097 -11.575316 -11.196761 -12.033317 -13.529470
2.726300e+02 -11.984753 -13.111997 -13.059967 -11.809034 -11.557409 -11.177422 -12.020134 -13.500628
2.765500e+02 -11.901046 -13.063030 -13.007546 -11.742740 -11.534830 -11.211455 -12.053307 -13.467604
2.805200e+02 -11.840504 -13.014282 -12.954608 -11.679560 -11.502016 -11.186072 -12.044573 -13.446972
2.845500e+02 -11.770718 -12.961474 -12.899183 -11.616273 -11.479232 -11.219021 -12.030866 -13.404883
2.886400e+02 -11.703170 -12.909943 -12.853138 -11.566246 -11.452873 -11.248330 -12.015723 -13.374125
2.927900e+02 -11.630219 -12.855185 -12.795578 -11.497564 -11.428967 -11.231043 -12.044823 -13.316665
2.970000e+02 -11.558419 -12.802086 -12.738810 -11.433426 -11.402785 -11.265895 -12.054108 -13.307712
3.012700e+02 -11.488431 -12.747098 -12.686196 -11.379041 -11.384250 -11.252571 -12.049109 -13.270285
3.056000e+02 -11.422880 -12.689205 -12.626539 -11.308891 -11.373531 -11.309843 -12.083816 -13.240428
3.099900e+02 -11.351678 -12.632081 -12.572061 -11.244539 -11.349281 -11.307106 -12.073190 -13.208443
3.144500e+02 -11.285948 -12.577429 -12.509310 -11.177689 -11.315084 -11.331992 -12.079542 -13.167746
3.189700e+02 -11.209983 -12.517308 -12.451269 -11.117447 -11.303833 -11.370485 -12.147053 -13.129057
3.235500e+02 -11.138466 -12.462332 -12.389792 -11.052987 -11.279286 -11.372740 -12.139855 -13.061430
3.282000e+02 -11.064667 -12.400705 -12.325135 -10.999839 -11.257210 -11.413558 -12.164604 -13.033563
3.329200e+02 -10.982733 -12.341033 -12.271119 -10.940989 -11.252155 -11.422329 -12.176984 -12.989459
3.377100e+02 -10.917434 -12.274272 -12.204877 -10.891360 -11.225931 -11.426473 -12.195701 -12.974353
3.425600e+02 -10.843206 -12.215507 -12.143042 -10.823932 -11.199404 -11.461313 -12.211188 -12.906136
3.474800e+02 -10.764355 -12.148776 -12.074738 -10.761186 -11.188100 -11.482516 -12.229942 -12.860474
3.524800e+02 -10.690302 -12.083865 -12.003733 -10.705377 -11.161529 -11.505417 -12.259861 -12.821047
3.575500e+02 -10.612065 -12.016826 -11.943804 -10.641525 -11.144994 -11.528424 -12.269469 -12.779243
3.626800e+02 -10.538755 -11.952049 -11.873118 -10.579792 -11.115764 -11.539642 -12.288865 -12.717364
3.679000e+02 -10.475101 -11.881292 -11.802926 -10.513808 -11.095601 -11.576221 -12.323207 -12.662665
3.731900e+02 -10.391569 -11.811833 -11.731995 -10.451737 -11.062085 -11.577783 -12.335757 -12.605760
3.785500e+02 -10.310841 -11.738746 -11.659163 -10.389020 -11.039154 -11.615500 -12.351134 -12.560523
3.839900e+02 -10.234383 -11.664380 -11.578887 -10.325242 -11.006914 -11.627523 -12.374089 -12.504400
3.895100e+02 -10.145371 -11.578869 -11.493116 -10.262202 -10.987737 -11.652102 -12.395186 -12.436381
