time U B V R I J H K
2.020000e+00 -12.529147 -12.702762 -13.186990 -13.636509 -14.323542 -14.106932 -14.233391 -14.410029
2.050000e+00 -12.406915 -12.657798 -13.147029 -13.566815 -14.199934 -14.124589 -14.225769 -14.406941
2.100000e+00 -12.298106 -12.714134 -13.179696 -13.541049 -14.064990 -14.206179 -14.281424 -14.442401
2.200000e+00 -12.502206 -13.141915 -13.532247 -13.779438 -14.083854 -14.474327 -14.537304 -14.655792
2.400000e+00 -13.538914 -14.033131 -14.299449 -14.490308 -14.627170 -15.050968 -15.103272 -15.189907
2.640000e+00 -14.539886 -14.809663 -14.915089 -15.122513 -15.178185 -15.600474 -15.599347 -15.620760
2.900000e+00 -15.326596 -15.429862 -15.391481 -15.618952 -15.581266 -16.043902 -16.012229 -15.944650
3.190000e+00 -15.971101 -15.926063 -15.789995 -16.059500 -15.906195 -16.400990 -16.407563 -16.274494
3.510000e+00 -16.536167 -16.324328 -16.142165 -16.450785 -16.250593 -16.714295 -16.728897 -16.557308
3.860000e+00 -16.967693 -16.656310 -16.428543 -16.779187 -16.636751 -16.947817 -16.948305 -16.762520
4.250000e+00 -17.281026 -16.911015 -16.671691 -17.029241 -16.930040 -17.110215 -17.094943 -16.918947
4.670000e+00 -17.548732 -17.123384 -16.893143 -17.240062 -17.158801 -17.250149 -17.218865 -17.062693
5.140000e+00 -17.807137 -17.330338 -17.110943 -17.442297 -17.365653 -17.389448 -17.340611 -17.207057
5.650000e+00 -18.051548 -17.533763 -17.319781 -17.633358 -17.551485 -17.525324 -17.457568 -17.343299
6.210000e+00 -18.283601 -17.736221 -17.520011 -17.813646 -17.719344 -17.659018 -17.569779 -17.468696
6.830000e+00 -18.501831 -17.936859 -17.710669 -17.981681 -17.869674 -17.789355 -17.673956 -17.580923
7.510000e+00 -18.701745 -18.131010 -17.890109 -18.134319 -18.000888 -17.910862 -17.763729 -17.676034
8.260000e+00 -18.883229 -18.317702 -18.061631 -18.271686 -18.113411 -18.017697 -17.834367 -17.751449
9.090000e+00 -19.045259 -18.496370 -18.227628 -18.392430 -18.204761 -18.102444 -17.881734 -17.804703
1.000000e+01 -19.187315 -18.662949 -18.387226 -18.494414 -18.271350 -18.157091 -17.903066 -17.835140
1.100000e+01 -19.308503 -18.815974 -18.540797 -18.577816 -18.311316 -18.178588 -17.900855 -17.846286
1.210000e+01 -19.409185 -18.952896 -18.686195 -18.648737 -18.331168 -18.167751 -17.876640 -17.842817
1.331000e+01 -19.491046 -19.071708 -18.824840 -18.719295 -18.352202 -18.133688 -17.837693 -17.832202
1.464000e+01 -19.537272 -19.168327 -18.949266 -18.795090 -18.389312 -18.088521 -17.794189 -17.823794
1.610000e+01 -19.547015 -19.234428 -19.053936 -18.875776 -18.449120 -18.040028 -17.754265 -17.822710
1.771000e+01 -19.507259 -19.265015 -19.130016 -18.948864 -18.513303 -17.993623 -17.728999 -17.831096
1.948000e+01 -19.423055 -19.252897 -19.172544 -19.003824 -18.565156 -17.948830 -17.730992 -17.852106
2.143000e+01 -19.289706 -19.198588 -19.170914 -19.025287 -18.579179 -17.883662 -17.759098 -17.886790
2.357000e+01 -19.119213 -19.103633 -19.130293 -19.003756 -18.543679 -17.766379 -17.803832 -17.931282
2.593000e+01 -18.935468 -18.964050 -19.052029 -18.933383 -18.450189 -17.554769 -17.841957 -17.977004
2.852000e+01 -18.706103 -18.782687 -18.941054 -18.801677 -18.277751 -17.160208 -17.858310 -18.003900
3.137000e+01 -18.435795 -18.545757 -18.801834 -18.622600 -18.081931 -16.684382 -17.893105 -18.013348
3.451000e+01 -18.230634 -18.319612 -18.631322 -18.443723 -18.008253 -16.489706 -17.966191 -18.032209
3.800000e+01 -17.721758 -17.933784 -18.424414 -18.294786 -18.060614 -16.491419 -18.099964 -18.086666
4.100000e+01 -17.550914 -17.768215 -18.279798 -18.184330 -18.027721 -16.407827 -18.033354 -18.007094
4.510000e+01 -17.289148 -17.500269 -18.095887 -18.153284 -18.289483 -16.692651 -18.214031 -18.119288
4.961000e+01 -16.992544 -17.181204 -17.828984 -17.994302 -18.250175 -16.977368 -18.179462 -18.030096
5.457000e+01 -16.769421 -16.925125 -17.542107 -17.705993 -17.909101 -16.563516 -17.837606 -17.664700
