time U B V R I J H K
5.000000e-01 inf inf inf inf inf inf inf inf
1.500000e+00 -12.197294 -12.146958 -12.745568 -13.182677 -13.649577 -14.306899 -14.394750 -14.905170
2.500000e+00 -13.651505 -14.290282 -14.793597 -15.092866 -15.099713 -15.784536 -15.993574 -16.087216
3.500000e+00 -15.867880 -15.882454 -16.050290 -16.259909 -16.548337 -16.536813 -16.235903 -16.340347
4.500000e+00 -16.917729 -16.644327 -16.743415 -16.974110 -17.216454 -16.846056 -16.769692 -16.623119
5.500000e+00 -17.543331 -17.174202 -17.240683 -17.450084 -17.711576 -17.111752 -17.125947 -16.827766
6.500000e+00 -17.986203 -17.578979 -17.608389 -17.822836 -18.087457 -17.370929 -17.283044 -17.113542
7.500000e+00 -18.381513 -17.939386 -17.947188 -18.126841 -18.344739 -17.633171 -17.440595 -17.307253
8.500000e+00 -18.700572 -18.204487 -18.202512 -18.356898 -18.513477 -17.788304 -17.555728 -17.438875
9.500000e+00 -18.936592 -18.430042 -18.412981 -18.529461 -18.633872 -17.916257 -17.579311 -17.565807
1.050000e+01 -19.125323 -18.623315 -18.586708 -18.672481 -18.758171 -17.984255 -17.595900 -17.513393
1.150000e+01 -19.263729 -18.778151 -18.738599 -18.788148 -18.871388 -18.041151 -17.632312 -17.476964
1.250000e+01 -19.368312 -18.901373 -18.862106 -18.877755 -18.946231 -18.088425 -17.579114 -17.495732
1.350000e+01 -19.438259 -18.998520 -18.970133 -18.945587 -19.005609 -18.077718 -17.575356 -17.442158
1.450000e+01 -19.481151 -19.081000 -19.059855 -18.989119 -19.050663 -18.063706 -17.525502 -17.360807
1.550000e+01 -19.492882 -19.143289 -19.136753 -19.030423 -19.089080 -18.043547 -17.450623 -17.315178
1.650000e+01 -19.483871 -19.191328 -19.188123 -19.051765 -19.125986 -17.999307 -17.357583 -17.145623
1.750000e+01 -19.453830 -19.221329 -19.234752 -19.074063 -19.160191 -17.911961 -17.333430 -17.144041
1.850000e+01 -19.385500 -19.231734 -19.260211 -19.082379 -19.178232 -17.880016 -17.311632 -16.958524
1.950000e+01 -19.296294 -19.235483 -19.278599 -19.080186 -19.198621 -17.801122 -17.241568 -16.935948
2.050000e+01 -19.180532 -19.229943 -19.293485 -19.076824 -19.215332 -17.766328 -17.207850 -16.830204
2.150000e+01 -19.062279 -19.213008 -19.293060 -19.062595 -19.221836 -17.672217 -17.203151 -16.799248
2.250000e+01 -18.934742 -19.186456 -19.285655 -19.042806 -19.229362 -17.667956 -17.206710 -16.819031
2.350000e+01 -18.801397 -19.151190 -19.266405 -19.016900 -19.235802 -17.590560 -17.227709 -16.861616
2.450000e+01 -18.674432 -19.103170 -19.242050 -18.984512 -19.228431 -17.578830 -17.288475 -16.926610
2.550000e+01 -18.539306 -19.041805 -19.203508 -18.940533 -19.222598 -17.542452 -17.374531 -17.065223
2.650000e+01 -18.407886 -18.973157 -19.158947 -18.893171 -19.185256 -17.494585 -17.468869 -17.191107
