time U B V R I J H K
2.018616e+00 -12.769501 -13.540302 -14.371656 -14.855184 -15.040975 -15.884316 -16.134703 -16.297953
2.056193e+00 -12.359295 -13.332712 -14.212158 -14.694782 -14.854460 -15.750085 -16.036753 -16.186646
2.094470e+00 -11.859586 -13.000271 -13.904451 -14.421796 -14.628610 -15.543958 -15.864836 -16.016589
2.133460e+00 -11.468844 -12.509907 -13.438062 -14.028907 -14.358536 -15.224706 -15.550323 -15.686448
2.173176e+00 -10.946070 -11.896384 -12.618064 -13.401347 -14.066456 -14.799956 -15.089231 -15.245508
2.213630e+00 -10.516894 -11.391319 -11.902247 -12.838998 -13.840487 -14.527122 -14.707258 -14.983452
2.254838e+00 -9.968840 -11.322654 -11.617713 -12.752592 -13.760046 -14.429343 -14.639090 -14.937727
2.296813e+00 -9.750126 -11.079062 -11.525684 -12.779365 -13.672073 -14.534275 -14.674608 -14.987189
2.339570e+00 -9.759944 -11.356966 -11.513594 -12.849591 -13.725734 -14.497974 -14.785388 -14.798467
2.383122e+00 -9.842528 -11.550466 -11.568528 -12.993324 -13.639481 -14.591230 -14.881250 -15.134769
2.427485e+00 -10.200345 -11.885436 -11.875165 -13.036668 -13.526213 -14.762640 -14.744899 -15.102481
2.472674e+00 -10.535251 -12.109941 -12.087865 -13.282697 -13.671921 -14.823193 -15.052648 -15.230036
2.518704e+00 -11.257011 -12.443199 -12.640748 -13.585606 -13.899504 -14.878541 -15.132294 -15.242334
2.565592e+00 -11.450660 -12.612676 -12.707126 -13.688072 -13.933064 -14.848393 -15.061722 -15.618940
2.613351e+00 -11.575772 -12.914620 -13.133248 -13.881659 -14.179894 -15.035878 -15.380269 -15.843690
2.662000e+00 -11.669306 -13.203101 -13.318044 -14.116419 -14.099261 -15.095970 -15.455014 -15.670937
2.711555e+00 -11.733727 -13.340641 -13.575297 -14.339091 -14.278995 -15.325136 -15.454052 -15.602315
2.762032e+00 -11.829507 -13.461167 -13.942428 -14.515008 -14.519196 -15.477540 -15.671352 -15.700860
2.813449e+00 -12.176909 -13.725124 -14.162604 -14.616267 -14.701843 -15.502039 -15.785286 -15.928359
2.865823e+00 -12.349193 -13.896168 -14.302749 -14.739308 -14.666029 -15.587345 -15.700215 -15.993360
2.919172e+00 -12.432247 -14.037841 -14.494392 -14.745766 -14.808074 -15.726962 -15.865156 -15.936846
2.973513e+00 -12.717819 -14.136580 -14.657234 -14.983236 -14.935619 -15.790695 -15.878917 -16.093328
3.028867e+00 -12.734309 -14.346683 -14.837398 -15.087310 -15.037611 -15.854620 -15.892080 -16.002789
3.085251e+00 -12.845459 -14.457354 -14.956733 -15.227740 -15.107758 -15.925247 -16.079191 -16.050259
3.142685e+00 -12.993895 -14.616801 -15.037216 -15.288430 -15.231664 -16.042983 -16.008810 -16.041740
3.201188e+00 -13.169601 -14.685859 -15.112591 -15.350033 -15.377075 -16.052670 -16.219179 -16.122684
3.260779e+00 -13.395465 -14.825887 -15.255783 -15.454958 -15.423118 -16.094835 -16.219123 -16.417575
3.321481e+00 -13.658797 -14.945722 -15.355185 -15.515251 -15.481278 -16.210597 -16.258607 -16.242111
3.383312e+00 -13.854888 -15.031399 -15.420068 -15.632439 -15.611126 -16.230610 -16.366310 -16.246605
3.446294e+00 -14.055690 -15.141388 -15.531454 -15.723320 -15.713518 -16.202719 -16.341690 -16.372700
3.510449e+00 -14.233598 -15.263587 -15.527470 -15.750475 -15.824358 -16.319176 -16.384271 -16.586501
3.575797e+00 -14.296061 -15.363192 -15.609747 -15.774044 -15.870590 -16.434375 -16.433735 -16.535830
3.642363e+00 -14.538591 -15.419084 -15.647472 -15.880774 -15.948068 -16.537336 -16.377640 -16.543001
3.710167e+00 -14.681260 -15.531169 -15.757534 -15.969855 -16.103028 -16.535103 -16.602789 -16.615267
3.779234e+00 -14.841988 -15.618480 -15.819721 -16.034589 -16.198835 -16.558708 -16.612827 -16.647588
3.849587e+00 -14.932125 -15.689013 -15.878294 -16.082510 -16.197827 -16.666303 -16.508877 -16.764250
3.921249e+00 -15.017907 -15.754123 -15.950140 -16.139971 -16.282593 -16.726129 -16.683011 -16.636702
3.994245e+00 -15.200732 -15.805274 -16.025361 -16.210232 -16.366461 -16.799511 -16.747618 -16.801357
4.068600e+00 -15.273375 -15.877319 -16.047756 -16.281579 -16.418687 -16.820541 -16.743010 -16.901869
4.144339e+00 -15.362295 -15.964524 -16.131769 -16.342384 -16.539762 -16.892298 -16.772810 -16.937007
4.221489e+00 -15.458237 -16.007271 -16.187777 -16.401929 -16.602815 -16.941645 -16.780851 -16.929945
4.300074e+00 -15.556532 -16.058631 -16.239227 -16.486614 -16.674262 -16.951122 -16.857205 -17.075793
4.380122e+00 -15.622278 -16.147466 -16.310755 -16.563856 -16.770787 -17.010071 -16.915570 -17.030034
4.461660e+00 -15.736092 -16.204331 -16.366393 -16.612679 -16.834329 -17.054199 -16.988218 -17.029505
4.544717e+00 -15.821924 -16.242488 -16.431809 -16.664742 -16.888998 -17.084361 -16.989793 -17.089453
4.629319e+00 -15.898804 -16.326980 -16.479217 -16.743434 -16.976285 -17.153791 -17.097087 -17.135451
4.715496e+00 -15.960798 -16.376351 -16.531606 -16.809281 -17.042314 -17.163986 -17.069648 -17.153411
4.803278e+00 -16.068609 -16.438128 -16.579437 -16.860347 -17.099731 -17.218631 -17.098792 -17.163092
4.892694e+00 -16.154566 -16.509677 -16.655712 -16.926419 -17.207828 -17.204534 -17.206521 -17.213817
4.983774e+00 -16.253569 -16.553102 -16.709068 -16.981903 -17.240239 -17.257685 -17.194322 -17.313094
5.076549e+00 -16.313092 -16.598680 -16.758667 -17.038143 -17.309182 -17.294533 -17.134766 -17.296826
5.171052e+00 -16.390697 -16.681204 -16.806172 -17.096346 -17.367679 -17.354538 -17.328084 -17.390210
5.267314e+00 -16.502371 -16.725340 -16.849365 -17.144388 -17.433257 -17.343301 -17.346539 -17.393462
5.365368e+00 -16.569210 -16.776975 -16.919684 -17.208296 -17.465053 -17.406721 -17.386704 -17.373751
5.465247e+00 -16.639323 -16.819650 -16.966512 -17.261456 -17.535982 -17.403926 -17.384261 -17.430721
5.566986e+00 -16.733444 -16.896011 -17.012971 -17.330282 -17.595192 -17.440374 -17.429100 -17.498103
5.670618e+00 -16.823957 -16.938882 -17.069916 -17.382154 -17.631543 -17.505784 -17.471449 -17.515243
5.776180e+00 -16.884926 -17.013243 -17.125849 -17.426936 -17.716555 -17.529294 -17.512357 -17.581686
5.883707e+00 -16.962544 -17.066707 -17.161374 -17.473973 -17.752139 -17.568403 -17.550245 -17.539000
5.993235e+00 -17.026518 -17.107223 -17.217794 -17.524877 -17.799907 -17.640245 -17.576069 -17.636726
6.104802e+00 -17.091627 -17.146545 -17.261777 -17.572681 -17.838437 -17.604686 -17.624606 -17.682496
6.218447e+00 -17.156511 -17.201238 -17.313375 -17.624369 -17.887321 -17.646321 -17.660461 -17.649119
6.334206e+00 -17.212542 -17.252730 -17.367841 -17.675513 -17.934942 -17.696588 -17.695661 -17.745831
6.452121e+00 -17.279533 -17.309245 -17.404295 -17.717173 -17.987791 -17.716769 -17.751653 -17.755110
6.572231e+00 -17.353056 -17.362978 -17.443692 -17.760833 -18.025508 -17.732078 -17.775542 -17.768395
6.694577e+00 -17.407695 -17.406248 -17.495168 -17.817904 -18.064882 -17.779460 -17.777253 -17.774115
6.819200e+00 -17.470887 -17.450510 -17.540257 -17.864032 -18.127020 -17.830816 -17.826170 -17.854984
6.946143e+00 -17.527428 -17.504328 -17.586728 -17.903760 -18.157045 -17.855961 -17.855296 -17.893484
