time U B V R I J H K
2.037028e+00 -11.410239 -10.357272 -9.819376 -11.021444 -11.534833 -12.375254 -14.062305 -13.082931
2.112455e+00 -10.898706 -11.566866 -11.572163 -12.294954 -12.789563 -13.963669 -13.334393 -14.347586
2.190675e+00 -12.417471 -12.525327 -12.478100 -13.379481 -13.483330 -14.531626 -13.662340 -14.665753
2.271792e+00 -12.845001 -13.244722 -13.294226 -13.864966 -13.781169 -14.557117 -15.155238 -14.591700
2.355913e+00 -13.795632 -13.989204 -14.258996 -14.452843 -14.226261 -15.400881 -15.360033 -15.255359
2.443148e+00 -14.119351 -14.348925 -14.590879 -14.908675 -14.447264 -15.455912 -15.300474 -15.242618
2.533613e+00 -14.644292 -14.769799 -14.935468 -15.064975 -14.606409 -15.511826 -15.476904 -15.803180
2.627428e+00 -14.939056 -14.962169 -15.083405 -15.221423 -14.728362 -15.561456 -15.466530 -15.784135
2.724717e+00 -15.258104 -15.062185 -15.323038 -15.428941 -14.871992 -15.704411 -15.904787 -15.478681
2.825608e+00 -15.384739 -15.234376 -15.334310 -15.492686 -15.125774 -15.801231 -15.899148 -16.188876
2.930235e+00 -15.591236 -15.445656 -15.575708 -15.789048 -15.381844 -15.985761 -15.839779 -15.715756
3.038736e+00 -15.820543 -15.587106 -15.706831 -15.880214 -15.500919 -15.932400 -15.721005 -15.956657
3.151255e+00 -15.927719 -15.768420 -15.875877 -15.984834 -15.613274 -15.981397 -15.931271 -16.103045
3.267940e+00 -16.144970 -15.882222 -15.977983 -16.169743 -15.704941 -16.195150 -16.021863 -16.228233
3.388946e+00 -16.271608 -16.007947 -16.082102 -16.288156 -15.910653 -16.170155 -16.217062 -16.136508
3.514432e+00 -16.385563 -16.093144 -16.215477 -16.378231 -15.994370 -16.191620 -16.292593 -16.363731
3.644565e+00 -16.567892 -16.221733 -16.317885 -16.502407 -16.058289 -16.181169 -16.466280 -16.372511
3.779516e+00 -16.658693 -16.350494 -16.453497 -16.622055 -16.229371 -16.377681 -16.542993 -16.498452
3.919465e+00 -16.812611 -16.436773 -16.517204 -16.713974 -16.347802 -16.408950 -16.500578 -16.557674
4.064595e+00 -16.948304 -16.552325 -16.624164 -16.833490 -16.504615 -16.558318 -16.642609 -16.550085
4.215100e+00 -17.034610 -16.664867 -16.728720 -16.954973 -16.570618 -16.677132 -16.738519 -16.642937
4.371177e+00 -17.157076 -16.779203 -16.841318 -17.048785 -16.624592 -16.657343 -16.715355 -16.665202
4.533034e+00 -17.288317 -16.877446 -16.926298 -17.123257 -16.720868 -16.732752 -16.811905 -16.734674
4.700883e+00 -17.396990 -16.955020 -17.024485 -17.247617 -16.857346 -16.907058 -16.932139 -16.776722
4.874948e+00 -17.519335 -17.031439 -17.104300 -17.317965 -16.935889 -16.845809 -17.003287 -16.874801
5.055458e+00 -17.610434 -17.150507 -17.199743 -17.393328 -17.052334 -16.948028 -17.033879 -16.956909
5.242653e+00 -17.728176 -17.226714 -17.281087 -17.476746 -17.133335 -16.982805 -17.079165 -17.143350
5.436778e+00 -17.808409 -17.312657 -17.362141 -17.570158 -17.176682 -17.126567 -17.019175 -17.018373
5.638092e+00 -17.917102 -17.399100 -17.451583 -17.653114 -17.271992 -17.144971 -17.181888 -17.167294
5.846861e+00 -18.009879 -17.488096 -17.536929 -17.716725 -17.356439 -17.199307 -17.271241 -17.187488
6.063359e+00 -18.109978 -17.564758 -17.597042 -17.799267 -17.402121 -17.298501 -17.314619 -17.176183
