time U B V R I J H K
1.991700e+02 -13.489214 -14.053456 -14.123883 -13.217098 -12.281330 -11.198757 -12.307659 -14.111942
2.020300e+02 -13.420752 -14.014149 -14.081186 -13.168313 -12.231543 -11.158706 -12.319487 -14.052303
2.049300e+02 -13.364814 -13.972008 -14.030990 -13.100295 -12.190401 -11.179558 -12.267955 -14.045286
2.078800e+02 -13.302765 -13.930610 -13.993566 -13.034963 -12.172986 -11.151702 -12.227338 -14.039103
2.108700e+02 -13.245475 -13.890347 -13.947197 -12.976505 -12.121172 -11.135423 -12.236880 -13.975824
2.139000e+02 -13.182647 -13.850456 -13.906430 -12.915175 -12.070805 -11.134774 -12.220333 -13.973684
2.169700e+02 -13.127119 -13.803350 -13.860517 -12.846325 -12.059893 -11.141532 -12.163940 -13.930838
2.200900e+02 -13.048175 -13.756937 -13.811640 -12.782726 -12.017043 -11.133859 -12.177449 -13.914466
2.232500e+02 -12.995941 -13.715043 -13.769722 -12.720798 -11.971024 -11.137692 -12.137611 -13.865492
2.264600e+02 -12.929866 -13.674606 -13.729381 -12.657802 -11.927725 -11.125928 -12.117364 -13.825427
2.297200e+02 -12.856409 -13.628384 -13.683061 -12.595682 -11.902679 -11.127470 -12.094876 -13.829213
2.330200e+02 -12.792800 -13.583647 -13.639122 -12.523790 -11.852805 -11.121681 -12.128540 -13.807296
2.363700e+02 -12.721712 -13.541157 -13.591456 -12.473098 -11.835540 -11.112130 -12.094025 -13.780265
2.397700e+02 -12.656234 -13.495012 -13.548768 -12.394425 -11.803217 -11.143886 -12.057273 -13.757219
2.432100e+02 -12.589697 -13.448707 -13.498103 -12.334777 -11.767483 -11.094272 -12.058393 -13.712731
2.467100e+02 -12.522206 -13.404110 -13.455817 -12.275117 -11.722246 -11.090070 -12.060804 -13.694855
2.502500e+02 -12.448500 -13.352444 -13.404296 -12.214051 -11.709324 -11.144811 -12.069660 -13.646611
2.538500e+02 -12.386643 -13.303438 -13.352104 -12.150419 -11.677250 -11.110020 -12.067733 -13.611104
2.575000e+02 -12.316894 -13.252809 -13.300669 -12.075411 -11.642685 -11.115610 -12.048518 -13.606856
2.612000e+02 -12.241889 -13.198304 -13.248571 -12.008912 -11.619953 -11.139414 -12.030528 -13.536751
2.649600e+02 -12.175682 -13.150192 -13.196295 -11.937205 -11.581305 -11.125444 -12.029692 -13.523529
2.687600e+02 -12.107981 -13.099398 -13.147282 -11.874304 -11.540623 -11.157338 -12.031564 -13.508625
2.726300e+02 -12.036618 -13.047607 -13.094376 -11.806863 -11.524798 -11.139297 -12.019220 -13.479146
2.765500e+02 -11.952956 -12.998394 -13.042269 -11.738734 -11.502019 -11.172466 -12.052129 -13.446390
2.805200e+02 -11.892133 -12.949575 -12.989385 -11.674029 -11.468716 -11.147257 -12.043302 -13.425451
2.845500e+02 -11.822536 -12.896685 -12.934318 -11.608541 -11.447186 -11.179070 -12.028388 -13.383727
2.886400e+02 -11.755399 -12.844814 -12.888393 -11.557525 -11.420677 -11.206813 -12.013094 -13.352824
2.927900e+02 -11.682955 -12.789908 -12.831113 -11.486909 -11.396912 -11.189960 -12.041639 -13.294772
2.970000e+02 -11.611360 -12.736537 -12.774570 -11.420351 -11.371056 -11.223358 -12.050539 -13.285422
3.012700e+02 -11.541630 -12.681384 -12.722210 -11.363689 -11.353018 -11.209695 -12.046789 -13.248354
3.056000e+02 -11.475730 -12.623520 -12.662809 -11.290498 -11.342866 -11.266517 -12.081072 -13.218336
3.099900e+02 -11.404838 -12.566238 -12.608462 -11.224182 -11.318540 -11.263320 -12.069975 -13.186523
3.144500e+02 -11.338820 -12.511628 -12.545958 -11.154842 -11.284362 -11.287248 -12.076130 -13.146062
3.189700e+02 -11.262660 -12.451508 -12.488030 -11.092541 -11.274367 -11.326021 -12.143642 -13.106937
3.235500e+02 -11.190902 -12.396567 -12.426760 -11.024917 -11.249002 -11.327120 -12.135660 -13.038826
3.282000e+02 -11.118037 -12.334752 -12.362258 -10.969499 -11.228267 -11.367910 -12.160979 -13.011476
3.329200e+02 -11.035922 -12.274913 -12.308295 -10.907516 -11.223186 -11.376964 -12.173040 -12.967359
3.377100e+02 -10.970573 -12.208037 -12.242021 -10.855933 -11.197997 -11.380336 -12.191963 -12.951770
3.425600e+02 -10.896264 -12.149318 -12.180368 -10.786456 -11.170834 -11.414813 -12.206900 -12.884006
3.474800e+02 -10.817470 -12.082505 -12.112121 -10.720765 -11.160611 -11.435445 -12.225654 -12.838918
3.524800e+02 -10.742243 -12.017768 -12.041175 -10.662821 -11.133890 -11.458536 -12.255252 -12.799209
3.575500e+02 -10.664856 -11.950378 -11.981288 -10.596607 -11.117732 -11.480904 -12.265082 -12.756864
3.626800e+02 -10.590917 -11.885605 -11.910959 -10.531267 -11.089111 -11.492382 -12.283818 -12.695473
3.679000e+02 -10.526907 -11.814901 -11.840881 -10.462819 -11.068721 -11.529056 -12.319079 -12.640747
3.731900e+02 -10.443394 -11.745496 -11.769816 -10.399034 -11.035373 -11.529763 -12.331448 -12.583359
3.785500e+02 -10.362902 -11.672203 -11.697239 -10.332856 -11.013304 -11.567590 -12.346641 -12.538374
3.839900e+02 -10.285910 -11.598171 -11.616865 -10.266598 -10.980787 -11.579092 -12.369924 -12.482120
3.895100e+02 -10.196794 -11.512447 -11.531196 -10.200652 -10.962170 -11.604041 -12.390780 -12.414364
3.951100e+02 -10.084702 -11.411439 -11.432403 -10.103714 -10.900393 -11.604876 -12.388369 -12.311128
4.007900e+02 -9.965782 -11.283095 -11.302974 -9.988330 -10.820742 -11.564877 -12.341791 -12.204065
