time U B V R I J H K
2.020000e+00 -12.524705 -12.693605 -13.173785 -13.611467 -14.298194 -14.107609 -14.228221 -14.414304
2.050000e+00 -12.404390 -12.647554 -13.134090 -13.545176 -14.174494 -14.124587 -14.221318 -14.410257
2.100000e+00 -12.297219 -12.702874 -13.168507 -13.523744 -14.040260 -14.204898 -14.278274 -14.444477
2.200000e+00 -12.503531 -13.130135 -13.524340 -13.768759 -14.060509 -14.471655 -14.535303 -14.656965
2.400000e+00 -13.544355 -14.026998 -14.295200 -14.479715 -14.604968 -15.048517 -15.100735 -15.190773
2.640000e+00 -14.547213 -14.809747 -14.913376 -15.111049 -15.152014 -15.599314 -15.596230 -15.620394
2.900000e+00 -15.335176 -15.434675 -15.392386 -15.606614 -15.550619 -16.043644 -16.008721 -15.943431
3.190000e+00 -15.992551 -15.934952 -15.792444 -16.047737 -15.875437 -16.401865 -16.403485 -16.273150
3.510000e+00 -16.570076 -16.335568 -16.142229 -16.440486 -16.224810 -16.716344 -16.724510 -16.556211
3.860000e+00 -17.005070 -16.670224 -16.425135 -16.767060 -16.619020 -16.949520 -16.944201 -16.761833
4.250000e+00 -17.317583 -16.926726 -16.665414 -17.016770 -16.916737 -17.111113 -17.091259 -16.918554
4.670000e+00 -17.584792 -17.140176 -16.884757 -17.228958 -17.148134 -17.250515 -17.215539 -17.062497
5.140000e+00 -17.843469 -17.347827 -17.101188 -17.432881 -17.356937 -17.389650 -17.337523 -17.207018
5.650000e+00 -18.088548 -17.551633 -17.309446 -17.625480 -17.544228 -17.525745 -17.454527 -17.343381
6.210000e+00 -18.321475 -17.754180 -17.509812 -17.807012 -17.713227 -17.659960 -17.566546 -17.468873
6.830000e+00 -18.540638 -17.954679 -17.701200 -17.976005 -17.864448 -17.790998 -17.670285 -17.581195
7.510000e+00 -18.741339 -18.148511 -17.881851 -18.129427 -17.996319 -17.913242 -17.759432 -17.676409
8.260000e+00 -18.923285 -18.334682 -18.055005 -18.267675 -18.109239 -18.020730 -17.829352 -17.751922
9.090000e+00 -19.085307 -18.512627 -18.223032 -18.389737 -18.200578 -18.105952 -17.876020 -17.805261
1.000000e+01 -19.226829 -18.678372 -18.384844 -18.493827 -18.266627 -18.160811 -17.896774 -17.835812
1.100000e+01 -19.346918 -18.830524 -18.540693 -18.580254 -18.305401 -18.182234 -17.894075 -17.847188
1.210000e+01 -19.445797 -18.966715 -18.687967 -18.655112 -18.323406 -18.171024 -17.869400 -17.844188
1.331000e+01 -19.525198 -19.084848 -18.827816 -18.730033 -18.342482 -18.136389 -17.829834 -17.834423
1.464000e+01 -19.567985 -19.180967 -18.952777 -18.809532 -18.377326 -18.090547 -17.785436 -17.827343
1.610000e+01 -19.573403 -19.246608 -19.057156 -18.893091 -18.435449 -18.041370 -17.744469 -17.827969
1.771000e+01 -19.528376 -19.276658 -19.132470 -18.967952 -18.498705 -17.994338 -17.718384 -17.838144
1.948000e+01 -19.438627 -19.263511 -19.173923 -19.023870 -18.551089 -17.949005 -17.720211 -17.860629
2.143000e+01 -19.299844 -19.207792 -19.171165 -19.045400 -18.566142 -17.883235 -17.749111 -17.896137
2.357000e+01 -19.124754 -19.111033 -19.129665 -19.024059 -18.531626 -17.765197 -17.795043 -17.940776
2.593000e+01 -18.938246 -18.969409 -19.050802 -18.954751 -18.438185 -17.552311 -17.834271 -17.986140
2.852000e+01 -18.706339 -18.785663 -18.939717 -18.826283 -18.262870 -17.155125 -17.850610 -18.011944
3.137000e+01 -18.433939 -18.545453 -18.800581 -18.651651 -18.059952 -16.676452 -17.883641 -18.019022
3.451000e+01 -18.229683 -18.316367 -18.630593 -18.472704 -17.980049 -16.483423 -17.954669 -18.034959
3.800000e+01 -17.716496 -17.923020 -18.421726 -18.316843 -18.033194 -16.490893 -18.086831 -18.085058
4.100000e+01 -17.545599 -17.756266 -18.276436 -18.203393 -18.001563 -16.410012 -18.019839 -18.004468
4.510000e+01 -17.283538 -17.487819 -18.090134 -18.155433 -18.268696 -16.701040 -18.200530 -18.111854
4.961000e+01 -16.986017 -17.172023 -17.818612 -17.990083 -18.235116 -16.993388 -18.170649 -18.022879
5.457000e+01 -16.762543 -16.917923 -17.529985 -17.707048 -17.894658 -16.583091 -17.828897 -17.658566
