time U B V R I J H K
4.140000e+00 -16.735878 -16.590269 -16.652256 -17.034156 -17.093765 -17.092162 -17.042866 -16.994441
4.220000e+00 -16.704792 -16.625588 -16.702647 -17.061982 -17.154367 -17.176964 -16.967434 -16.935840
4.310000e+00 -16.798858 -16.688625 -16.697118 -17.084504 -17.176743 -17.169254 -17.024922 -16.923276
4.400000e+00 -16.786669 -16.692336 -16.765185 -17.136803 -17.163650 -17.193309 -17.120016 -16.962890
4.490000e+00 -16.840837 -16.710462 -16.794751 -17.128737 -17.182591 -17.177554 -17.032254 -16.773388
4.580000e+00 -16.835943 -16.750488 -16.815791 -17.153107 -17.234108 -17.219529 -17.097826 -16.953072
4.680000e+00 -16.856011 -16.776516 -16.875585 -17.218226 -17.251294 -17.231253 -17.123343 -17.092929
4.770000e+00 -16.870373 -16.797875 -16.866887 -17.227809 -17.290487 -17.244775 -17.163809 -16.984968
4.870000e+00 -16.887627 -16.806703 -16.906318 -17.279259 -17.299242 -17.338352 -17.196496 -17.066815
4.970000e+00 -16.920356 -16.866179 -16.943231 -17.308085 -17.385385 -17.348511 -17.155400 -17.037126
5.080000e+00 -16.961189 -16.906166 -16.971304 -17.338981 -17.381717 -17.412191 -17.198156 -17.243322
5.180000e+00 -16.977030 -16.922579 -17.022512 -17.368926 -17.353610 -17.421343 -17.277766 -17.146430
5.290000e+00 -17.079187 -16.972842 -17.031160 -17.384573 -17.485068 -17.396192 -17.260373 -17.166019
5.400000e+00 -17.104494 -16.993795 -17.048167 -17.458584 -17.520022 -17.458759 -17.448235 -17.343863
5.510000e+00 -17.165454 -17.034773 -17.116821 -17.495571 -17.566134 -17.485159 -17.351877 -17.226459
5.620000e+00 -17.254380 -17.069268 -17.131677 -17.526529 -17.590814 -17.509667 -17.473082 -17.512792
5.740000e+00 -17.332703 -17.108537 -17.203124 -17.591439 -17.702851 -17.624140 -17.460598 -17.443846
5.860000e+00 -17.367594 -17.174535 -17.221310 -17.597045 -17.732833 -17.680919 -17.546073 -17.555261
5.980000e+00 -17.411485 -17.177177 -17.256258 -17.631524 -17.763734 -17.659845 -17.584856 -17.557118
6.100000e+00 -17.440933 -17.250117 -17.303822 -17.695772 -17.769230 -17.664337 -17.594245 -17.402956
6.230000e+00 -17.525527 -17.296625 -17.362630 -17.725529 -17.771376 -17.722115 -17.579544 -17.426805
6.360000e+00 -17.556075 -17.309552 -17.369612 -17.775612 -17.858813 -17.803884 -17.615704 -17.508249
6.490000e+00 -17.624509 -17.349015 -17.402941 -17.801308 -17.885385 -17.829190 -17.742235 -17.532897
6.620000e+00 -17.619233 -17.416825 -17.461243 -17.855746 -17.918967 -17.884711 -17.748134 -17.482658
6.760000e+00 -17.701712 -17.441924 -17.513234 -17.895123 -17.970004 -17.836635 -17.774860 -17.614753
6.900000e+00 -17.714356 -17.490807 -17.549226 -17.939264 -18.039519 -17.918712 -17.804863 -17.717257
7.040000e+00 -17.754442 -17.526422 -17.579535 -17.980009 -18.116207 -17.924914 -17.819594 -17.856985
7.190000e+00 -17.808536 -17.566457 -17.650759 -18.018367 -18.111398 -17.955082 -17.824466 -17.762388
7.340000e+00 -17.872333 -17.607104 -17.671012 -18.059312 -18.190856 -18.010744 -17.897963 -17.810560
7.490000e+00 -17.889004 -17.661657 -17.716227 -18.117802 -18.220289 -18.063284 -17.899495 -17.837196
7.650000e+00 -17.955409 -17.698316 -17.741018 -18.148629 -18.239137 -18.049555 -17.971666 -17.916335
7.800000e+00 -18.026233 -17.751111 -17.808882 -18.192517 -18.297476 -18.067718 -17.956781 -17.943980
7.960000e+00 -18.074370 -17.781382 -17.844088 -18.253576 -18.301200 -18.112807 -18.045792 -17.956841
8.130000e+00 -18.153186 -17.816896 -17.884658 -18.285324 -18.338203 -18.165385 -18.079299 -18.046696
8.300000e+00 -18.185814 -17.886258 -17.917815 -18.311314 -18.350262 -18.147125 -18.102852 -18.039303
8.470000e+00 -18.178214 -17.899377 -17.972416 -18.362442 -18.400444 -18.137395 -18.145193 -18.012485
8.640000e+00 -18.195981 -17.970565 -18.029264 -18.391437 -18.430244 -18.205800 -18.149988 -18.069695
8.820000e+00 -18.246166 -18.006037 -18.055286 -18.434992 -18.473971 -18.224258 -18.159415 -18.060254
9.010000e+00 -18.295028 -18.050530 -18.084710 -18.457069 -18.513515 -18.282364 -18.139655 -18.136233
9.190000e+00 -18.363644 -18.088908 -18.140879 -18.504995 -18.536913 -18.257113 -18.218087 -18.103548
9.380000e+00 -18.387723 -18.130355 -18.175104 -18.521831 -18.564475 -18.315318 -18.226277 -18.177887
9.580000e+00 -18.402826 -18.168129 -18.227160 -18.575876 -18.612043 -18.349884 -18.191665 -18.171251
9.770000e+00 -18.429864 -18.201788 -18.249881 -18.606177 -18.643958 -18.349603 -18.233276 -18.222483
9.980000e+00 -18.463110 -18.246756 -18.297302 -18.647904 -18.670517 -18.351620 -18.255634 -18.262059
1.018000e+01 -18.468057 -18.286429 -18.356177 -18.681532 -18.709419 -18.393219 -18.244546 -18.295302
1.039000e+01 -18.508907 -18.328918 -18.392684 -18.718964 -18.733483 -18.392455 -18.250688 -18.251250
1.061000e+01 -18.536559 -18.343383 -18.428140 -18.745776 -18.783770 -18.403039 -18.266602 -18.272881
1.083000e+01 -18.564402 -18.407893 -18.458190 -18.780913 -18.808850 -18.417327 -18.295732 -18.356531
1.105000e+01 -18.570626 -18.434863 -18.491360 -18.810930 -18.837858 -18.451110 -18.251652 -18.390697
1.128000e+01 -18.580410 -18.470021 -18.531493 -18.841607 -18.850686 -18.407828 -18.232321 -18.355042
1.151000e+01 -18.591451 -18.510375 -18.589661 -18.875463 -18.873210 -18.467132 -18.241746 -18.377023
1.175000e+01 -18.575465 -18.537589 -18.611550 -18.904314 -18.900691 -18.419509 -18.313435 -18.296388
1.199000e+01 -18.630758 -18.580161 -18.649354 -18.925120 -18.925117 -18.440215 -18.254170 -18.323772
1.224000e+01 -18.658354 -18.608324 -18.684755 -18.960667 -18.970101 -18.447066 -18.280397 -18.295527
1.250000e+01 -18.691226 -18.650593 -18.717967 -18.978208 -18.980660 -18.422717 -18.251686 -18.284073
1.275000e+01 -18.699324 -18.689446 -18.759968 -18.998315 -18.975258 -18.427872 -18.249830 -18.280309
1.302000e+01 -18.727233 -18.716227 -18.791263 -19.024619 -19.008779 -18.399217 -18.195295 -18.225302
1.329000e+01 -18.756579 -18.754250 -18.823506 -19.043692 -19.042105 -18.377175 -18.210618 -18.261369
1.356000e+01 -18.757161 -18.788171 -18.857563 -19.082107 -19.054370 -18.315829 -18.201625 -18.190402
1.384000e+01 -18.771088 -18.824836 -18.897719 -19.095491 -19.066404 -18.366919 -18.154272 -18.254940
1.413000e+01 -18.781096 -18.856059 -18.924658 -19.121769 -19.076689 -18.320928 -18.156262 -18.183734
1.442000e+01 -18.774999 -18.897849 -18.952873 -19.132502 -19.065661 -18.303393 -18.116801 -18.190005
1.472000e+01 -18.767944 -18.919835 -18.976328 -19.157537 -19.091280 -18.272279 -18.072935 -18.138545
1.502000e+01 -18.769234 -18.947427 -19.019741 -19.183725 -19.102067 -18.242248 -18.059942 -18.067325
1.534000e+01 -18.759503 -18.979686 -19.048500 -19.202543 -19.120315 -18.213023 -18.001052 -18.036311
1.565000e+01 -18.784168 -18.995873 -19.075659 -19.211903 -19.137433 -18.190597 -18.010651 -18.049255
1.598000e+01 -18.801741 -19.030976 -19.098809 -19.225348 -19.136175 -18.097169 -17.994760 -17.943564
1.631000e+01 -18.784905 -19.056968 -19.124238 -19.233000 -19.146737 -18.108181 -18.028295 -17.887565
1.664000e+01 -18.785203 -19.078821 -19.149784 -19.255343 -19.148869 -18.042233 -17.950618 -17.954865
1.699000e+01 -18.778198 -19.101822 -19.180435 -19.268386 -19.184747 -18.012174 -17.906266 -17.902529
1.734000e+01 -18.755127 -19.118598 -19.199765 -19.283464 -19.183841 -17.954722 -17.856415 -17.813814
1.770000e+01 -18.749388 -19.141005 -19.228306 -19.290992 -19.207831 -17.900162 -17.849449 -17.822086
1.806000e+01 -18.718210 -19.151364 -19.249014 -19.302021 -19.215500 -17.878575 -17.850518 -17.769069
1.844000e+01 -18.697642 -19.167477 -19.265988 -19.309662 -19.224002 -17.790501 -17.854744 -17.678911
1.882000e+01 -18.719577 -19.179631 -19.282597 -19.320219 -19.255192 -17.781644 -17.784113 -17.751715
1.921000e+01 -18.703900 -19.181879 -19.308193 -19.327837 -19.242226 -17.734937 -17.824525 -17.669566
1.961000e+01 -18.681852 -19.192488 -19.327023 -19.329648 -19.225753 -17.707612 -17.848625 -17.711220
2.001000e+01 -18.622400 -19.188261 -19.340726 -19.327918 -19.228828 -17.654136 -17.878350 -17.609602
2.042000e+01 -18.576864 -19.182178 -19.351768 -19.335279 -19.243691 -17.621072 -17.852233 -17.672591
2.085000e+01 -18.533834 -19.175101 -19.363517 -19.319566 -19.248757 -17.534402 -17.911500 -17.687700
2.128000e+01 -18.496243 -19.162966 -19.380776 -19.323012 -19.257025 -17.514693 -17.952399 -17.746860
2.172000e+01 -18.444149 -19.144433 -19.385160 -19.310070 -19.271445 -17.488424 -18.039269 -17.766590
2.217000e+01 -18.389009 -19.116835 -19.391755 -19.293185 -19.283875 -17.476960 -18.107697 -17.834919
2.263000e+01 -18.303167 -19.090982 -19.395505 -19.296664 -19.296144 -17.443183 -18.176996 -17.867013
2.309000e+01 -18.269225 -19.057589 -19.401708 -19.274537 -19.316765 -17.399129 -18.239477 -17.971126
2.357000e+01 -18.172688 -19.002142 -19.400938 -19.256474 -19.307362 -17.427754 -18.327179 -17.972393
2.406000e+01 -18.114271 -18.957395 -19.394658 -19.246702 -19.312050 -17.380023 -18.422301 -18.117431
2.456000e+01 -18.041463 -18.909370 -19.376428 -19.220720 -19.335575 -17.415248 -18.533644 -18.231503
2.506000e+01 -17.951216 -18.853733 -19.360490 -19.200049 -19.340891 -17.418929 -18.587232 -18.218329
2.558000e+01 -17.860674 -18.790760 -19.333874 -19.177587 -19.326373 -17.376750 -18.674726 -18.378486
2.611000e+01 -17.798009 -18.722752 -19.298466 -19.145089 -19.294720 -17.404420 -18.750508 -18.472439
2.665000e+01 -17.675486 -18.647423 -19.250384 -19.107869 -19.266879 -17.382971 -18.839475 -18.552972
2.720000e+01 -17.550312 -18.573173 -19.201938 -19.081110 -19.285652 -17.385750 -18.945741 -18.670346
2.777000e+01 -17.428661 -18.489910 -19.144770 -19.053260 -19.306555 -17.443505 -19.039637 -18.763079
2.834000e+01 -17.337068 -18.404825 -19.084128 -19.020192 -19.340351 -17.488667 -19.104460 -18.856870
2.893000e+01 -17.250853 -18.312965 -19.016731 -18.992065 -19.358990 -17.557962 -19.167422 -18.924262
2.952000e+01 -17.148868 -18.217475 -18.951476 -18.966666 -19.363699 -17.643001 -19.220202 -18.993478
3.014000e+01 -17.032622 -18.121026 -18.880460 -18.925687 -19.329987 -17.721564 -19.282394 -19.061853
3.076000e+01 -16.927165 -18.021181 -18.818425 -18.897231 -19.319528 -17.860964 -19.310870 -19.103195
3.139000e+01 -16.785174 -17.916980 -18.739359 -18.869095 -19.295755 -17.974314 -19.360193 -19.221476
3.204000e+01 -16.662581 -17.826362 -18.676720 -18.831192 -19.249068 -18.065264 -19.377965 -19.218084
