time U B V R I J H K
1.991700e+02 -13.489146 -14.055045 -14.124703 -13.214481 -12.292706 -11.199278 -12.307572 -14.111314
2.020300e+02 -13.420762 -14.015746 -14.082012 -13.165532 -12.243385 -11.159209 -12.318572 -14.051747
2.049300e+02 -13.364829 -13.973598 -14.031855 -13.097672 -12.202431 -11.178539 -12.267765 -14.044723
2.078800e+02 -13.302830 -13.932188 -13.994459 -13.032558 -12.184538 -11.152563 -12.227320 -14.038419
2.108700e+02 -13.245576 -13.891929 -13.948120 -12.974019 -12.133365 -11.134828 -12.236344 -13.975156
2.139000e+02 -13.182783 -13.852063 -13.907331 -12.912888 -12.083036 -11.135218 -12.220120 -13.973048
2.169700e+02 -13.127236 -13.804980 -13.861390 -12.844018 -12.071968 -11.142294 -12.164029 -13.930348
2.200900e+02 -13.048368 -13.758581 -13.812580 -12.780586 -12.029406 -11.135113 -12.177727 -13.913801
2.232500e+02 -12.996136 -13.716654 -13.770646 -12.718693 -11.983513 -11.141470 -12.137497 -13.864981
2.264600e+02 -12.930074 -13.676231 -13.730296 -12.655772 -11.940335 -11.128324 -12.117410 -13.824972
2.297200e+02 -12.856694 -13.630022 -13.684066 -12.593851 -11.915092 -11.129761 -12.095252 -13.828603
2.330200e+02 -12.793103 -13.585294 -13.640076 -12.522057 -11.865736 -11.124548 -12.128646 -13.806946
2.363700e+02 -12.722065 -13.542807 -13.592499 -12.471262 -11.848036 -11.115555 -12.094524 -13.779706
2.397700e+02 -12.656596 -13.496662 -13.549755 -12.392743 -11.815638 -11.147197 -12.058215 -13.756824
2.432100e+02 -12.590077 -13.450361 -13.499105 -12.333158 -11.780296 -11.098098 -12.059190 -13.712203
2.467100e+02 -12.522637 -13.405767 -13.456847 -12.273690 -11.734977 -11.093390 -12.061413 -13.694340
2.502500e+02 -12.448983 -13.354124 -13.405362 -12.212668 -11.722043 -11.149520 -12.070541 -13.646016
2.538500e+02 -12.387128 -13.305111 -13.353257 -12.149210 -11.689824 -11.114951 -12.068549 -13.610606
2.575000e+02 -12.317399 -13.254487 -13.301847 -12.074471 -11.655226 -11.120460 -12.049915 -13.606321
