time U B V R I J H K
2.020000e+00 -12.524733 -12.694747 -13.173766 -13.614201 -14.297875 -14.107824 -14.228328 -14.413818
2.050000e+00 -12.404789 -12.648470 -13.134157 -13.547522 -14.174273 -14.124903 -14.221405 -14.409809
2.100000e+00 -12.298406 -12.703613 -13.168562 -13.525494 -14.040255 -14.205267 -14.278341 -14.444059
2.200000e+00 -12.505936 -13.130845 -13.524336 -13.769677 -14.060960 -14.472044 -14.535395 -14.656540
2.400000e+00 -13.547158 -14.027531 -14.295100 -14.480457 -14.605721 -15.048818 -15.100930 -15.190255
2.640000e+00 -14.549782 -14.810004 -14.913368 -15.111780 -15.152785 -15.599489 -15.596431 -15.619884
2.900000e+00 -15.337500 -15.434651 -15.392603 -15.607267 -15.551645 -16.043858 -16.008880 -15.943017
3.190000e+00 -15.994437 -15.934436 -15.792927 -16.047581 -15.876809 -16.402295 -16.403637 -16.272812
3.510000e+00 -16.571232 -16.335061 -16.143000 -16.439906 -16.225907 -16.716654 -16.724668 -16.555893
3.860000e+00 -17.006019 -16.669775 -16.426131 -16.767060 -16.619444 -16.949721 -16.944361 -16.761535
4.250000e+00 -17.318389 -16.926435 -16.666523 -17.017357 -16.916852 -17.111255 -17.091415 -16.918271
4.670000e+00 -17.585438 -17.140008 -16.885930 -17.229686 -17.148133 -17.250630 -17.215690 -17.062223
5.140000e+00 -17.843978 -17.347693 -17.102410 -17.433578 -17.356897 -17.389749 -17.337666 -17.206747
5.650000e+00 -18.088958 -17.551453 -17.310678 -17.626091 -17.544200 -17.525836 -17.454658 -17.343113
6.210000e+00 -18.321816 -17.753908 -17.510991 -17.807540 -17.713251 -17.660046 -17.566664 -17.468605
6.830000e+00 -18.540932 -17.954297 -17.702257 -17.976483 -17.864552 -17.791075 -17.670388 -17.580927
7.510000e+00 -18.741599 -18.148026 -17.882727 -18.129908 -17.996508 -17.913300 -17.759520 -17.676142
8.260000e+00 -18.923518 -18.334109 -18.055646 -18.268197 -18.109493 -18.020752 -17.829424 -17.751654
9.090000e+00 -19.085517 -18.511991 -18.223390 -18.390304 -18.200856 -18.105923 -17.876078 -17.804990
1.000000e+01 -19.227024 -18.677685 -18.384901 -18.494412 -18.266867 -18.160725 -17.896821 -17.835536
1.100000e+01 -19.347106 -18.829787 -18.540438 -18.580835 -18.305536 -18.182099 -17.894115 -17.846906
1.210000e+01 -19.445999 -18.965897 -18.687449 -18.655643 -18.323386 -18.170852 -17.869438 -17.843898
1.331000e+01 -19.525436 -19.083897 -18.827099 -18.730452 -18.342302 -18.136194 -17.829865 -17.834122
1.464000e+01 -19.568307 -19.179849 -18.951933 -18.809802 -18.377038 -18.090348 -17.785450 -17.827026
1.610000e+01 -19.573852 -19.245275 -19.056276 -18.893154 -18.435124 -18.041187 -17.744447 -17.827636
1.771000e+01 -19.529004 -19.275105 -19.131621 -18.967775 -18.498400 -17.994173 -17.718288 -17.837798
1.948000e+01 -19.439436 -19.261743 -19.173132 -19.023372 -18.550857 -17.948849 -17.719978 -17.860280
2.143000e+01 -19.300825 -19.205864 -19.170451 -19.044546 -18.566025 -17.883066 -17.748660 -17.895765
2.357000e+01 -19.125798 -19.109032 -19.128942 -19.022873 -18.531622 -17.765024 -17.794354 -17.940312
2.593000e+01 -18.939191 -18.967310 -19.050003 -18.953275 -18.438215 -17.552172 -17.833384 -17.985578
2.852000e+01 -18.707124 -18.783652 -18.938774 -18.824567 -18.262791 -17.154999 -17.849553 -18.011352
3.137000e+01 -18.434544 -18.543540 -18.799581 -18.649854 -18.059611 -16.676415 -17.882610 -18.018457
3.451000e+01 -18.230174 -18.314430 -18.629770 -18.471145 -17.979244 -16.483515 -17.953839 -18.034419
3.800000e+01 -17.717051 -17.921593 -18.421408 -18.316063 -18.031821 -16.491078 -18.086354 -18.084528
4.100000e+01 -17.546219 -17.754714 -18.276310 -18.202873 -17.999996 -16.410211 -18.019455 -18.003939
4.510000e+01 -17.284240 -17.486176 -18.090320 -18.156729 -18.266698 -16.700694 -18.200547 -18.111031
4.961000e+01 -16.986830 -17.170205 -17.818894 -17.992434 -18.233148 -16.992260 -18.170706 -18.021756
5.457000e+01 -16.763394 -16.915672 -17.530304 -17.709007 -17.892684 -16.582007 -17.828926 -17.657417
