time U B V R I J H K
5.000000e-01 inf inf inf inf inf inf inf inf
1.500000e+00 -12.201927 -12.139978 -12.735127 -13.162541 -13.646396 -14.299525 -14.392388 -14.898904
2.500000e+00 -13.673900 -14.271603 -14.784462 -15.082419 -15.087024 -15.782081 -15.995740 -16.086903
3.500000e+00 -15.885345 -15.884178 -16.044351 -16.252933 -16.522440 -16.547259 -16.231778 -16.344076
4.500000e+00 -16.945659 -16.651601 -16.736736 -16.969834 -17.190089 -16.852461 -16.760098 -16.624567
5.500000e+00 -17.576523 -17.182964 -17.234227 -17.446724 -17.686329 -17.118353 -17.114463 -16.825630
6.500000e+00 -18.020690 -17.588149 -17.602246 -17.819234 -18.064768 -17.375792 -17.272158 -17.115964
7.500000e+00 -18.416743 -17.948945 -17.941808 -18.124663 -18.323696 -17.634138 -17.432441 -17.310607
8.500000e+00 -18.735677 -18.214608 -18.197651 -18.356581 -18.494032 -17.788498 -17.547639 -17.441619
9.500000e+00 -18.972469 -18.439710 -18.409413 -18.530856 -18.614720 -17.914894 -17.571714 -17.569578
1.050000e+01 -19.161721 -18.632569 -18.584050 -18.674375 -18.739756 -17.982599 -17.588609 -17.517804
1.150000e+01 -19.300245 -18.786729 -18.736864 -18.791583 -18.852355 -18.039373 -17.627058 -17.479585
1.250000e+01 -19.404854 -18.909329 -18.860838 -18.883036 -18.926094 -18.086132 -17.573723 -17.499381
1.350000e+01 -19.474604 -19.005538 -18.969596 -18.953006 -18.983940 -18.076537 -17.570673 -17.446871
1.450000e+01 -19.516758 -19.087322 -19.060302 -18.998570 -19.026906 -18.062788 -17.521228 -17.364829
1.550000e+01 -19.527413 -19.149040 -19.137527 -19.042133 -19.063479 -18.042165 -17.445355 -17.317382
1.650000e+01 -19.516575 -19.196768 -19.189113 -19.065446 -19.098515 -17.998174 -17.349783 -17.148560
1.750000e+01 -19.484007 -19.226275 -19.235744 -19.089708 -19.130024 -17.912669 -17.325454 -17.147002
1.850000e+01 -19.412069 -19.236515 -19.261161 -19.099380 -19.146288 -17.880774 -17.303023 -16.958318
1.950000e+01 -19.318510 -19.239829 -19.279528 -19.098718 -19.164282 -17.802190 -17.231136 -16.937906
2.050000e+01 -19.197883 -19.233540 -19.294284 -19.097074 -19.178408 -17.768695 -17.197461 -16.831336
2.150000e+01 -19.073624 -19.216174 -19.293721 -19.084058 -19.182388 -17.674377 -17.191189 -16.801132
2.250000e+01 -18.941814 -19.188538 -19.286493 -19.064975 -19.187587 -17.669504 -17.192969 -16.818665
2.350000e+01 -18.804152 -19.152132 -19.267318 -19.039212 -19.191686 -17.592781 -17.211034 -16.861146
2.450000e+01 -18.673127 -19.103009 -19.243109 -19.006599 -19.183162 -17.580634 -17.270848 -16.926661
2.550000e+01 -18.534880 -19.040104 -19.204951 -18.961493 -19.176259 -17.545184 -17.356131 -17.062560
2.650000e+01 -18.400490 -18.969598 -19.160899 -18.913045 -19.138209 -17.497971 -17.448623 -17.186722
2.750000e+01 -18.240132 -18.875148 -19.110056 -18.857007 -19.095941 -17.449555 -17.611169 -17.312456
2.850000e+01 -18.080087 -18.769928 -19.051940 -18.794324 -19.040258 -17.436476 -17.772678 -17.487821
2.950000e+01 -17.904201 -18.644721 -18.992364 -18.726582 -18.986249 -17.416663 -17.982256 -17.677740
3.050000e+01 -17.740189 -18.525123 -18.927769 -18.667290 -18.937411 -17.403806 -18.151188 -17.854835
3.150000e+01 -17.564016 -18.397890 -18.865726 -18.609420 -18.883625 -17.430766 -18.298170 -18.024443
3.250000e+01 -17.359297 -18.270358 -18.799402 -18.565891 -18.838644 -17.456151 -18.426481 -18.168023
3.350000e+01 -17.160280 -18.136999 -18.736943 -18.530878 -18.807773 -17.537467 -18.525072 -18.266880
3.450000e+01 -16.927948 -18.001023 -18.670848 -18.509981 -18.778657 -17.612962 -18.627671 -18.393219
3.550000e+01 -16.688609 -17.857048 -18.599095 -18.496721 -18.760296 -17.683188 -18.702135 -18.453185
3.650000e+01 -16.442329 -17.724073 -18.538478 -18.489387 -18.752304 -17.778357 -18.761618 -18.530151
3.750000e+01 -16.228119 -17.594733 -18.475799 -18.488922 -18.754721 -17.842885 -18.822533 -18.586729
3.850000e+01 -16.019836 -17.470047 -18.421198 -18.480652 -18.754974 -17.885905 -18.856173 -18.621268
3.950000e+01 -15.820976 -17.348186 -18.356528 -18.475140 -18.752754 -17.942795 -18.876420 -18.679065
4.050000e+01 -15.641971 -17.250510 -18.303108 -18.463049 -18.752653 -17.971208 -18.877450 -18.692774
4.150000e+01 -15.460937 -17.149238 -18.244672 -18.444633 -18.750476 -17.994928 -18.879714 -18.696889
4.250000e+01 -15.306786 -17.057995 -18.187565 -18.423910 -18.731709 -18.004877 -18.895589 -18.731460
4.350000e+01 -15.141065 -16.975804 -18.124049 -18.400012 -18.721918 -18.014903 -18.869469 -18.716755
4.450000e+01 -15.011096 -16.895745 -18.068590 -18.366799 -18.703990 -18.016934 -18.848830 -18.700702
4.550000e+01 -14.874630 -16.822866 -18.017919 -18.337887 -18.679098 -18.028026 -18.844466 -18.701078
4.650000e+01 -14.711852 -16.747339 -17.966600 -18.297383 -18.653203 -18.015826 -18.836521 -18.678341
4.750000e+01 -14.612480 -16.687068 -17.907478 -18.247893 -18.623864 -17.992803 -18.805424 -18.673194
4.850000e+01 -14.456388 -16.622506 -17.855763 -18.200927 -18.590711 -17.969546 -18.788732 -18.619297
4.950000e+01 -14.368067 -16.577850 -17.805765 -18.154952 -18.553246 -17.938769 -18.758277 -18.576417
5.050000e+01 -14.229671 -16.530345 -17.757328 -18.107508 -18.519763 -17.900004 -18.716982 -18.557938
5.150000e+01 -14.094756 -16.479915 -17.711471 -18.053690 -18.476347 -17.862341 -18.691047 -18.505488
5.250000e+01 -13.938468 -16.440096 -17.666717 -18.004105 -18.437178 -17.792088 -18.661120 -18.468845
5.350000e+01 -13.860452 -16.409790 -17.616287 -17.954070 -18.387101 -17.740528 -18.635162 -18.422794
5.450000e+01 -13.722359 -16.370829 -17.575021 -17.893851 -18.351292 -17.675825 -18.598231 -18.403506
5.550000e+01 -13.572235 -16.332115 -17.535171 -17.842679 -18.303786 -17.604707 -18.569512 -18.335151
5.650000e+01 -13.456221 -16.296560 -17.493595 -17.799943 -18.263478 -17.503160 -18.527619 -18.306044
5.750000e+01 -13.337319 -16.253169 -17.455109 -17.754692 -18.224652 -17.422114 -18.496845 -18.247908
5.850000e+01 -13.187679 -16.227733 -17.421710 -17.710292 -18.190622 -17.325488 -18.450413 -18.208071
5.950000e+01 -13.026999 -16.188488 -17.389131 -17.665520 -18.148359 -17.253256 -18.424374 -18.170926
6.050000e+01 -12.857212 -16.149109 -17.353210 -17.613486 -18.111088 -17.154397 -18.384966 -18.088068
6.150000e+01 -12.681681 -16.117570 -17.317921 -17.572871 -18.078344 -17.062326 -18.345453 -18.076771
6.250000e+01 -12.551644 -16.080041 -17.286470 -17.529213 -18.044941 -17.001003 -18.322694 -18.028710
6.350000e+01 -12.429715 -16.044325 -17.251263 -17.481002 -18.014151 -16.933949 -18.287912 -18.019477
6.450000e+01 -12.192172 -16.001837 -17.216829 -17.445664 -17.992715 -16.865596 -18.257441 -17.982287
6.550000e+01 -12.060944 -15.952055 -17.180895 -17.400383 -17.955690 -16.798421 -18.185345 -17.944101
6.650000e+01 -11.832569 -15.931958 -17.147133 -17.364484 -17.932872 -16.733659 -18.138849 -17.977995
6.750000e+01 -11.766789 -15.874760 -17.105166 -17.313962 -17.902213 -16.682056 -18.115702 -17.943107
6.850000e+01 -11.559340 -15.839133 -17.067416 -17.274806 -17.869010 -16.641957 -18.079999 -17.958114
6.950000e+01 -11.465942 -15.794054 -17.022334 -17.232620 -17.846910 -16.593605 -18.029895 -17.909222
7.050000e+01 -11.315135 -15.746102 -16.979345 -17.191207 -17.820872 -16.550086 -17.979397 -17.889993
7.150000e+01 -11.132468 -15.701906 -16.942154 -17.157528 -17.790003 -16.520370 -17.956014 -17.895296
7.250000e+01 -11.054354 -15.656129 -16.885178 -17.121517 -17.763885 -16.477209 -17.908688 -17.928363
7.350000e+01 -10.926348 -15.608699 -16.834519 -17.084883 -17.733779 -16.471814 -17.875503 -17.909970
7.450000e+01 -10.825163 -15.558871 -16.793648 -17.051812 -17.712956 -16.444505 -17.809516 -17.903457
7.550000e+01 -10.528576 -15.510266 -16.751821 -17.028122 -17.688229 -16.439683 -17.779925 -17.904490
7.650000e+01 -10.501253 -15.435180 -16.703890 -16.998740 -17.668312 -16.444265 -17.723954 -17.951920
7.750000e+01 -10.375884 -15.394877 -16.646842 -16.968992 -17.635333 -16.442187 -17.654054 -17.957840
7.850000e+01 -10.204055 -15.326997 -16.611196 -16.953335 -17.611446 -16.441834 -17.613576 -17.963529
7.950000e+01 -10.086442 -15.265146 -16.559435 -16.921877 -17.586660 -16.464314 -17.562900 -17.976881
8.050000e+01 -10.072574 -15.201019 -16.506422 -16.910166 -17.565011 -16.465883 -17.532195 -17.979326
8.150000e+01 -9.797253 -15.132292 -16.465535 -16.880481 -17.535484 -16.485597 -17.483746 -17.978462
8.250000e+01 -9.735461 -15.046939 -16.408426 -16.863484 -17.515745 -16.514398 -17.388865 -17.990978
8.350000e+01 -9.607727 -14.986058 -16.362368 -16.834402 -17.484482 -16.549435 -17.359259 -17.950398
