time U B V R I J H K
3.327280e-04 -4.609232 -4.616168 -5.397296 -5.990735 -6.731464 -7.038381 -7.583205 -7.928179
1.174150e-03 -4.487309 -4.529034 -5.346803 -5.960085 -6.717804 -7.042540 -7.593875 -7.947658
2.170890e-03 -4.384223 -4.458929 -5.308570 -5.937562 -6.709157 -7.051698 -7.612042 -7.969639
3.229110e-03 -4.297546 -4.401579 -5.276197 -5.920627 -6.703024 -7.062519 -7.630213 -7.996103
4.286130e-03 -4.239348 -4.363876 -5.256859 -5.911067 -6.701815 -7.074181 -7.648387 -8.021102
5.383420e-03 -4.222095 -4.350466 -5.246825 -5.899627 -6.689314 -7.064183 -7.644733 -8.025587
6.496340e-03 -4.139494 -4.283384 -5.197466 -5.859777 -6.661902 -7.061678 -7.657906 -8.049555
6.496700e-03 -4.139494 -4.283384 -5.197466 -5.859777 -6.661902 -7.061678 -7.657906 -8.049555
7.996580e-03 -4.081728 -4.243780 -5.174018 -5.847839 -6.659495 -7.078348 -7.684262 -8.084042
8.982460e-03 -4.053262 -4.224367 -5.162716 -5.842482 -6.659595 -7.090015 -7.701762 -8.106028
9.968340e-03 -4.025117 -4.205782 -5.153919 -5.840088 -6.663396 -7.104185 -7.719940 -8.128017
1.172030e-02 -3.981350 -4.178015 -5.141461 -5.835701 -6.668503 -7.125858 -7.751305 -8.167506
1.317990e-02 -3.946674 -4.154542 -5.130710 -5.834329 -6.673616 -7.145029 -7.776301 -8.197505
1.549210e-02 -3.897816 -4.123428 -5.117328 -5.833033 -6.683736 -7.173381 -7.815168 -8.244496
1.718280e-02 -3.863038 -4.101986 -5.108417 -5.832160 -6.690048 -7.195057 -7.843353 -8.278478
1.881140e-02 -3.822037 -4.074797 -5.094333 -5.826385 -6.692676 -7.211735 -7.868348 -8.308478
2.098290e-02 -3.763131 -4.033879 -5.073316 -5.817193 -6.694128 -7.232594 -7.899034 -8.345470
2.403320e-02 -3.672517 -3.973278 -5.041088 -5.803148 -6.695593 -7.260959 -7.938601 -8.394964
2.847270e-02 -3.531976 -3.876670 -4.986722 -5.774420 -6.689730 -7.293517 -7.989980 -8.460950
3.128260e-02 -3.433979 -3.810036 -4.947108 -5.753035 -6.683731 -7.311895 -8.018174 -8.497949
3.362990e-02 -3.342290 -3.744267 -4.909275 -5.729513 -6.671403 -7.321896 -8.037063 -8.524947
3.642710e-02 -3.214231 -3.652298 -4.850361 -5.692447 -6.653112 -7.331970 -8.058457 -8.554447
3.943990e-02 -3.053590 -3.534120 -4.773737 -5.641133 -6.624655 -7.337861 -8.079155 -8.583945
4.260850e-02 -2.859104 -3.387942 -4.674341 -5.573799 -6.584137 -7.337955 -8.093053 -8.607951
4.575730e-02 -2.643568 -3.222070 -4.559276 -5.492183 -6.529821 -7.328061 -8.096256 -8.617950
4.844060e-02 -2.446005 -3.069446 -4.448741 -5.409094 -6.471679 -7.306472 -8.087663 -8.614952
5.024030e-02 -2.311410 -2.961296 -4.367868 -5.348327 -6.425813 -7.284886 -8.073367 -8.604458
5.193150e-02 -2.183353 -2.859347 -4.289738 -5.286066 -6.377457 -7.259098 -8.053368 -8.589454
5.351940e-02 -2.062963 -2.760690 -4.213219 -5.224062 -6.326616 -7.230018 -8.031574 -8.569460
5.482490e-02 -1.965076 -2.679960 -4.147834 -5.170975 -6.283005 -7.201730 -8.009780 -8.553464
5.637240e-02 -1.846007 -2.582508 -4.069822 -5.104972 -6.227181 -7.167661 -7.982990 -8.530970
5.684910e-02 -1.810892 -2.551238 -4.045398 -5.084308 -6.209971 -7.155161 -7.975489 -8.525967
5.780240e-02 -1.736987 -2.490783 -3.994476 -5.041498 -6.173867 -7.131880 -7.958697 -8.512976
5.930140e-02 -1.620514 -2.393829 -3.916453 -4.974495 -6.116668 -7.097815 -7.932623 -8.497484
5.979450e-02 -1.582935 -2.362100 -3.889737 -4.953426 -6.099169 -7.085318 -7.925125 -8.491989
