time U B V R I J H K
2.018616e+00 -12.767719 -13.513618 -14.357497 -14.840328 -15.031096 -15.879366 -16.133632 -16.297869
2.056193e+00 -12.366305 -13.300823 -14.198741 -14.678440 -14.846501 -15.743935 -16.035713 -16.185750
2.094470e+00 -11.870955 -12.962939 -13.890734 -14.403438 -14.617007 -15.536651 -15.862765 -16.015891
2.133460e+00 -11.487739 -12.469998 -13.422723 -14.007609 -14.340080 -15.216170 -15.549118 -15.685569
2.173176e+00 -10.976219 -11.862244 -12.601361 -13.367704 -14.037219 -14.793522 -15.085951 -15.244555
2.213630e+00 -10.554861 -11.366907 -11.882814 -12.795951 -13.799854 -14.524060 -14.712963 -14.980147
2.254838e+00 -10.015234 -11.293871 -11.592842 -12.703838 -13.720546 -14.423625 -14.643257 -14.937683
2.296813e+00 -9.832118 -11.043739 -11.494281 -12.730722 -13.634479 -14.529334 -14.683176 -14.990565
2.339570e+00 -9.849321 -11.318234 -11.490903 -12.795500 -13.689321 -14.494251 -14.791845 -14.797874
2.383122e+00 -9.950984 -11.511191 -11.541852 -12.943024 -13.607776 -14.585782 -14.885710 -15.130793
2.427485e+00 -10.326909 -11.843045 -11.859995 -12.989811 -13.501344 -14.754590 -14.757078 -15.100286
2.472674e+00 -10.660820 -12.066731 -12.065330 -13.244904 -13.643086 -14.818894 -15.054443 -15.230379
2.518704e+00 -11.379851 -12.404207 -12.627985 -13.544717 -13.882661 -14.873287 -15.137470 -15.242014
2.565592e+00 -11.573990 -12.573517 -12.683758 -13.659732 -13.907109 -14.845940 -15.065407 -15.615188
2.613351e+00 -11.698385 -12.873597 -13.120652 -13.851323 -14.154558 -15.025949 -15.381523 -15.840388
2.662000e+00 -11.787587 -13.162192 -13.301536 -14.093291 -14.073598 -15.095080 -15.456356 -15.673659
2.711555e+00 -11.858807 -13.300769 -13.558942 -14.314887 -14.261740 -15.316535 -15.454593 -15.606700
2.762032e+00 -11.948876 -13.422290 -13.929744 -14.495706 -14.500995 -15.473368 -15.669319 -15.698408
2.813449e+00 -12.280366 -13.689614 -14.153668 -14.598357 -14.683897 -15.498725 -15.786556 -15.923012
2.865823e+00 -12.448452 -13.858915 -14.296326 -14.720918 -14.647431 -15.586031 -15.702423 -15.995023
2.919172e+00 -12.525496 -14.002569 -14.489314 -14.730752 -14.788072 -15.723970 -15.870349 -15.939233
2.973513e+00 -12.814987 -14.103572 -14.649011 -14.970774 -14.915944 -15.790021 -15.874940 -16.096344
3.028867e+00 -12.820619 -14.314916 -14.831545 -15.077819 -15.018915 -15.855251 -15.889471 -16.007440
3.085251e+00 -12.923940 -14.427671 -14.948941 -15.221554 -15.087233 -15.923735 -16.079582 -16.057004
3.142685e+00 -13.069133 -14.591298 -15.032183 -15.281136 -15.206687 -16.041859 -16.014857 -16.047372
3.201188e+00 -13.235919 -14.660668 -15.108413 -15.340341 -15.352851 -16.045298 -16.223039 -16.126892
3.260779e+00 -13.442345 -14.802315 -15.251658 -15.445137 -15.399143 -16.093853 -16.220239 -16.415320
3.321481e+00 -13.700926 -14.925047 -15.352097 -15.507344 -15.457953 -16.207680 -16.258100 -16.243084
3.383312e+00 -13.889806 -15.012648 -15.415747 -15.625288 -15.588249 -16.231287 -16.367462 -16.243502
3.446294e+00 -14.079022 -15.124934 -15.530494 -15.714842 -15.688790 -16.207431 -16.343810 -16.373069
