time U B V R I J H K
2.037028e+00 -11.472438 -10.346654 -9.834518 -10.936127 -11.582794 -12.391872 -14.062272 -13.036641
2.112455e+00 -10.980407 -11.529454 -11.579404 -12.241002 -12.786035 -13.923571 -13.347924 -14.319345
2.190675e+00 -12.476292 -12.506939 -12.447724 -13.354621 -13.479612 -14.519732 -13.697558 -14.640903
2.271792e+00 -12.889825 -13.209794 -13.290096 -13.838433 -13.780837 -14.556210 -15.157923 -14.587920
2.355913e+00 -13.828551 -13.974181 -14.256115 -14.441877 -14.222871 -15.391295 -15.376987 -15.258343
2.443148e+00 -14.145483 -14.335344 -14.581506 -14.906658 -14.432774 -15.464414 -15.311331 -15.243810
2.533613e+00 -14.658753 -14.769072 -14.930505 -15.070001 -14.589543 -15.518657 -15.472881 -15.798234
2.627428e+00 -14.951969 -14.959313 -15.078936 -15.225993 -14.709908 -15.555419 -15.488850 -15.791927
2.724717e+00 -15.271112 -15.061802 -15.316336 -15.438074 -14.853074 -15.711004 -15.913057 -15.471090
2.825608e+00 -15.403324 -15.231926 -15.331528 -15.494451 -15.098915 -15.803070 -15.901811 -16.192351
2.930235e+00 -15.608549 -15.446764 -15.571523 -15.789638 -15.362154 -15.991228 -15.843415 -15.715733
3.038736e+00 -15.843132 -15.590350 -15.698849 -15.885339 -15.483154 -15.932583 -15.723648 -15.961289
3.151255e+00 -15.949821 -15.771166 -15.874330 -15.985601 -15.598606 -15.977820 -15.931264 -16.098216
3.267940e+00 -16.169385 -15.886875 -15.972183 -16.173307 -15.690122 -16.193884 -16.024466 -16.221274
3.388946e+00 -16.298505 -16.013165 -16.076279 -16.291324 -15.897577 -16.169690 -16.214815 -16.135984
3.514432e+00 -16.413656 -16.093910 -16.211937 -16.382359 -15.980670 -16.195499 -16.290463 -16.362391
3.644565e+00 -16.596475 -16.227636 -16.312563 -16.505013 -16.051857 -16.179853 -16.465836 -16.369805
3.779516e+00 -16.688789 -16.355284 -16.449921 -16.623979 -16.220373 -16.378737 -16.540029 -16.500472
3.919465e+00 -16.844074 -16.442060 -16.514084 -16.714644 -16.338618 -16.413575 -16.494006 -16.553908
4.064595e+00 -16.980466 -16.558646 -16.618934 -16.834924 -16.498871 -16.560491 -16.638613 -16.540949
4.215100e+00 -17.065764 -16.672387 -16.721418 -16.957914 -16.567406 -16.678236 -16.735152 -16.646209
4.371177e+00 -17.189580 -16.785576 -16.835852 -17.050854 -16.621186 -16.659657 -16.712266 -16.664139
4.533034e+00 -17.321929 -16.883935 -16.922284 -17.125763 -16.717488 -16.729666 -16.809070 -16.736336
4.700883e+00 -17.430611 -16.962286 -17.018288 -17.250507 -16.854329 -16.911065 -16.924288 -16.775548
4.874948e+00 -17.552851 -17.039782 -17.098091 -17.321175 -16.930913 -16.849244 -16.997109 -16.874360
5.055458e+00 -17.644666 -17.158068 -17.194002 -17.396259 -17.050145 -16.951084 -17.026966 -16.957894
5.242653e+00 -17.762675 -17.234654 -17.275737 -17.479112 -17.130245 -16.985984 -17.071496 -17.138263
5.436778e+00 -17.843430 -17.319892 -17.356012 -17.572984 -17.173132 -17.128255 -17.015805 -17.018525
5.638092e+00 -17.952527 -17.406201 -17.447277 -17.654320 -17.270312 -17.147897 -17.175286 -17.166753
5.846861e+00 -18.045586 -17.496163 -17.530818 -17.719919 -17.354797 -17.202719 -17.264364 -17.189771
6.063359e+00 -18.147526 -17.572818 -17.590842 -17.802380 -17.401160 -17.300332 -17.307704 -17.182499
6.287873e+00 -18.238140 -17.638220 -17.664342 -17.882956 -17.508850 -17.347512 -17.346458 -17.303751
6.520702e+00 -18.333736 -17.732444 -17.733472 -17.945575 -17.587765 -17.422383 -17.451398 -17.398967
6.762152e+00 -18.415165 -17.806425 -17.823811 -18.024201 -17.641250 -17.481833 -17.440669 -17.390964
7.012541e+00 -18.506294 -17.877718 -17.878582 -18.093907 -17.735203 -17.504265 -17.498989 -17.468499
7.272203e+00 -18.593469 -17.950532 -17.940892 -18.152631 -17.794921 -17.610037 -17.598122 -17.465468
7.541479e+00 -18.675440 -18.041666 -18.038116 -18.216363 -17.859325 -17.639604 -17.625234 -17.588857
7.820726e+00 -18.745213 -18.102503 -18.092630 -18.278151 -17.920660 -17.741883 -17.572330 -17.642138
8.110313e+00 -18.837882 -18.176520 -18.170675 -18.347644 -18.015830 -17.763651 -17.709956 -17.672366
8.410623e+00 -18.915101 -18.239734 -18.228029 -18.397046 -18.068283 -17.822700 -17.726852 -17.693523
8.722052e+00 -18.979733 -18.293346 -18.289195 -18.455895 -18.121675 -17.884756 -17.730589 -17.740038
9.045013e+00 -19.047932 -18.378153 -18.348490 -18.516071 -18.202971 -17.946522 -17.746764 -17.777674
9.379933e+00 -19.119217 -18.441859 -18.412397 -18.581082 -18.264367 -17.995462 -17.781608 -17.806288
9.727255e+00 -19.179528 -18.512635 -18.478498 -18.638449 -18.319233 -18.031805 -17.817038 -17.861822
1.008744e+01 -19.235067 -18.577014 -18.534098 -18.679329 -18.343291 -18.050026 -17.833850 -17.787438
1.046096e+01 -19.291954 -18.638752 -18.596878 -18.722943 -18.390821 -18.054419 -17.785701 -17.855945
1.084831e+01 -19.335301 -18.703699 -18.649301 -18.772784 -18.432761 -18.113485 -17.866279 -17.882671
1.125000e+01 -19.391756 -18.757847 -18.700132 -18.818056 -18.473059 -18.125811 -17.872218 -17.906852
